latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.11938455277778,7.020942616666667,976.6386,13.96250,71,2022,-899526.223
46.11938383333333,7.020941083333334,976.6068,13.96278,71,2022,-899765.994
46.11938299166667,7.020939477777778,976.5933,13.96306,71,2022,-900006.411
46.11938208333334,7.020937819444445,976.5546,13.96333,71,2022,-900244.580
46.11938114444444,7.020936030555555,976.5075,13.96361,71,2022,-900484.679
46.119380080555565,7.020934358333333,976.4813,13.96389,71,2022,-900723.881
46.119378902777775,7.020932724999999,976.4555,13.96417,71,2022,-900961.267
46.119377611111105,7.0209310361111115,976.4706,13.96444,71,2022,-901198.893
46.119376186111104,7.020929411111111,976.4987,13.96472,71,2022,-901435.178
46.11937460833334,7.020927802777778,976.5191,13.96500,71,2022,-901674.948
46.119372980555546,7.020926058333333,976.568,13.96528,71,2022,-901909.881
46.11937127777778,7.020924233333334,976.6559,13.96556,71,2022,-902145.544
46.119369558333325,7.020922477777778,976.7208,13.96583,71,2022,-902384.902
46.11936775,7.020920675,976.8211,13.96611,71,2022,-902619.731
46.119366013888886,7.020918983333333,976.8995,13.96639,71,2022,-902860.487
46.11936424444445,7.020917211111111,976.9762,13.96667,71,2022,-903099.143
46.11936265833334,7.020915347222222,976.9973,13.96694,71,2022,-903340.969
46.119361236111104,7.0209132388888875,976.9814,13.96722,71,2022,-903582.262
46.119359819444455,7.020910919444445,976.9707,13.96750,71,2022,-903819.705
46.119358466666675,7.020908494444443,976.9397,13.96778,71,2022,-904059.248
46.11935695555555,7.020906061111111,976.95,13.96806,71,2022,-904300.250
46.11935550277778,7.020903466666667,976.9427,13.96833,71,2022,-904537.136
46.119354216666665,7.020900838888888,976.9171,13.96861,71,2022,-904776.711
46.11935299166666,7.020898083333334,976.8798,13.96889,71,2022,-905014.120
46.11935164166667,7.020895208333333,976.8659,13.96917,71,2022,-905252.715
46.11935040555556,7.020892275,976.8483,13.96944,71,2022,-905491.597
46.11934906111111,7.02088925,976.8512,13.96972,71,2022,-905729.160
46.119347766666664,7.020886086111111,976.838,13.97000,71,2022,-905968.247
46.11934646666667,7.020882947222221,976.8247,13.97028,71,2022,-906205.751
46.119345116666665,7.020879741666667,976.8132,13.97056,71,2022,-906441.173
46.11934372777778,7.02087645,976.7972,13.97083,71,2022,-906679.834
46.11934243888889,7.020873161111111,976.7671,13.97111,71,2022,-906920.811
46.11934120555556,7.020869844444444,976.7342,13.97139,71,2022,-907159.565
46.119339958333335,7.0208665055555555,976.6861,13.97167,71,2022,-907396.679
46.11933861666666,7.02086305,976.6492,13.97194,71,2022,-907634.210
46.11933707222222,7.020859430555555,976.6499,13.97222,71,2022,-907871.253
46.11933565277778,7.020855955555556,976.6336,13.97250,71,2022,-908109.695
46.119334511111106,7.020852511111111,976.5782,13.97278,71,2022,-908352.083
46.11933327777777,7.020849080555555,976.5288,13.97306,71,2022,-908590.175
46.1193319361111,7.020845625,976.5017,13.97333,71,2022,-908829.574
46.11933071111112,7.0208421083333326,976.466,13.97361,71,2022,-909067.793
46.11932929166667,7.020838458333333,976.455,13.97389,71,2022,-909303.368
46.119327938888894,7.0208348944444445,976.4103,13.97417,71,2022,-909542.441
46.119326558333334,7.020831286111111,976.3785,13.97444,71,2022,-909778.153
46.11932515833333,7.020827783333333,976.3253,13.97472,71,2022,-910016.332
46.119323772222224,7.0208242472222215,976.2827,13.97500,71,2022,-910253.360
46.11932237222222,7.020820722222222,976.2431,13.97528,71,2022,-910490.471
46.11932106111111,7.020817116666667,976.186,13.97556,71,2022,-910731.289
46.11931972222222,7.020813383333333,976.1323,13.97583,71,2022,-910968.106
46.11931823333333,7.020809683333334,976.103,13.97611,71,2022,-911208.330
46.11931678055556,7.020805963888889,976.0627,13.97639,71,2022,-911446.249
46.119315261111105,7.020802272222222,976.0107,13.97667,71,2022,-911683.215
46.1193135388889,7.020798508333333,975.9889,13.97694,71,2022,-911919.661
46.11931159166666,7.020794591666666,976.0102,13.97722,71,2022,-912154.759
46.11930961666667,7.020790652777778,976.0344,13.97750,71,2022,-912392.008
46.11930763611111,7.020786727777778,976.0613,13.97778,71,2022,-912631.269
46.11930570833334,7.020782788888889,976.0834,13.97806,71,2022,-912869.855
